CPOD_completeIDnum,CPOD_IDnum,CPOD_Date,CPOD_FileEndMin,CPOD_FileEndMinNum,CPOD_DPM,CPOD_Nall,CPOD_MinsOn,CPOD_completeIDnum_edit,CPOD_CPODloc_ID,CPOD_CPODloc_ID_nozero,CPOD_summedPPS,CPOD_summedPPS_edit,CPOD_totalTimeLost,CPOD_locID
001 D1 2010 06 22 POD612 V2 NB DPM.txt,POD612,2010-08-01,23:59,58164479,0,456974,1440,001 D1 2010 06 22 POD612 V2,1,1,0,0,0,1
002 B0 2010 06 22 POD632 V2 NB DPM.txt,POD632,2010-08-01,23:59,58164479,0,144052,1440,002 B0 2010 06 22 POD632 V2,2,2,0,0,0,2
003 B9 2010 06 22 POD600 V2 NB DPM.txt,POD600,2010-08-01,23:59,58164479,0,70494,1440,003 B9 2010 06 22 POD600 V2,3,3,0,0,0,3
004 B12 2010 06 22 POD554 V2 NB DPM.txt,POD554,2010-08-01,23:59,58164479,6,67783,1440,004 B12 2010 06 22 POD554 V2,4,4,42,29,0,4
005 D4 2010 07 25 POD606 V2 NB DPM.txt,POD606,2010-08-01,23:59,58164479,7,13073,1440,005 D4 2010 07 25 POD606 V2,5,5,29,23,0,5
023 B1 2010 07 20 POD605 V2 NB DPM.txt,POD605,2010-08-01,23:59,58164479,0,126614,1440,023 B1 2010 07 20 POD605 V2,23,23,0,0,0,23
025 A1 2010 07 30 POD610 V2 NB DPM.txt,POD610,2010-08-01,23:59,58164479,6,347723,1440,025 A1 2010 07 30 POD610 V2,25,25,27,4,0,25
029 A2 2010 07 12 POD564 V2 NB DPM.txt,POD564,2010-08-01,23:59,58164479,2,136058,1440,029 A2 2010 07 12 POD564 V2,29,29,6,3,0,29
035 B3 2010 07 20 POD558 V2 NB DPM.txt,POD558,2010-08-01,23:59,58164479,2,175432,1440,035 B3 2010 07 20 POD558 V2,35,35,7,3,0,35
036 A3 2010 07 12 POD599 V2 NB DPM.txt,POD599,2010-08-01,23:59,58164479,0,49076,1440,036 A3 2010 07 12 POD599 V2,36,36,0,0,0,36
037 A4 2010 07 12 POD588 V2 NB DPM.txt,POD588,2010-08-01,23:59,58164479,0,62877,1440,037 A4 2010 07 12 POD588 V2,37,37,0,0,0,37
038 A5 2010 07 12 POD598 V2 NB DPM.txt,POD598,2010-08-01,23:59,58164479,11,30245,1440,038 A5 2010 07 12 POD598 V2,38,38,46,38,0,38
039 A6 2010 07 12 POD565 V2 NB DPM.txt,POD565,2010-08-01,23:59,58164479,6,104776,1440,039 A6 2010 07 12 POD565 V2,39,39,30,0,0,39
041 A8 2010 07 12 POD589 V2 NB DPM.txt,POD589,2010-08-01,23:59,58164479,9,19380,1440,041 A8 2010 07 12 POD589 V2,41,41,33,9,0,41
042 A9 2010 07 12 POD625 V2 NB DPM.txt,POD625,2010-08-01,23:59,58164479,3,4859,1440,042 A9 2010 07 12 POD625 V2,42,42,13,4,0,42
043 A10 2010 07 12 POD568 V2 NB DPM.txt,POD568,2010-08-01,23:59,58164479,5,16267,1440,043 A10 2010 07 12 POD568 V2,43,43,12,5,0,43
044 A11 2010 07 12 POD624 V2 NB DPM.txt,POD624,2010-08-01,23:59,58164479,27,19148,1440,044 A11 2010 07 12 POD624 V2,44,44,99,34,0,44
045 A12 2010 07 12 POD569 V2 NB DPM.txt,POD569,2010-08-01,23:59,58164479,11,28816,1440,045 A12 2010 07 12 POD569 V2,45,45,31,8,0,45
046 A13 2010 07 19 POD571 V2 NB DPM.txt,POD571,2010-08-01,23:59,58164479,32,36040,1440,046 A13 2010 07 19 POD571 V2,46,46,145,15,0,46
047 A14 2010 07 24 POD621 V2 NB DPM.txt,POD621,2010-08-01,23:59,58164479,13,21025,1440,047 A14 2010 07 24 POD621 V2,47,47,52,16,0,47
048 A15 2010 07 24 POD586 V2 NB DPM.txt,POD586,2010-08-01,23:59,58164479,7,18348,1440,048 A15 2010 07 24 POD586 V2,48,48,40,22,0,48
050 A17 2010 07 24 POD583 V2 NB DPM.txt,POD583,2010-08-01,23:59,58164479,8,73823,1440,050 A17 2010 07 24 POD583 V2,50,50,30,21,0,50
054 A21 2010 07 24 POD631 V2 NB DPM.txt,POD631,2010-08-01,23:59,58164479,14,35963,1440,054 A21 2010 07 24 POD631 V2,54,54,47,16,0,54
060 B2 2010 07 20 POD1022 V2 NB DPM.txt,POD1022,2010-08-01,23:59,58164479,1,36368,1440,060 B2 2010 07 20 POD1022 V2,60,60,3,0,0,60
061 B4 2010 07 20 POD1027 V2 NB DPM.txt,POD1027,2010-08-01,23:59,58164479,1,67380,1440,061 B4 2010 07 20 POD1027 V2,61,61,12,0,0,61
062 B5 2010 07 20 POD1028 V2 NB DPM.txt,POD1028,2010-08-01,23:59,58164479,0,144073,1440,062 B5 2010 07 20 POD1028 V2,62,62,0,0,0,62
063 B6 2010 07 20 POD1025 V2 NB DPM.txt,POD1025,2010-08-01,23:59,58164479,1,64009,1440,063 B6 2010 07 20 POD1025 V2,63,63,2,0,0,63
064 B7 2010 07 20 POD1023 V2 NB DPM.txt,POD1023,2010-08-01,23:59,58164479,5,159658,1440,064 B7 2010 07 20 POD1023 V2,64,64,17,0,0,64
065 B8 2010 07 20 POD1021 V2 NB DPM.txt,POD1021,2010-08-01,23:59,58164479,0,40419,1440,065 B8 2010 07 20 POD1021 V2,65,65,0,0,0,65
066 B10 2010 08 02 POD492 V2 NB DPM.txt,POD492,2010-08-01,23:59,58164479,0,0,0,066 B10 2010 08 02 POD492 V2,66,66,0,0,0,66
067 B11 2010 08 02 POD807 V2 NB DPM.txt,POD807,2010-08-01,23:59,58164479,0,0,0,067 B11 2010 08 02 POD807 V2,67,67,0,0,0,67
070 B15 2010 07 13 POD490 V2 NB DPM.txt,POD490,2010-08-01,23:59,58164479,0,140247,1440,070 B15 2010 07 13 POD490 V2,70,70,0,0,0,70
